Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D5.0mm,153.775,-68.5,180,top
J1,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,165,-67.725,180,top
J2,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Vertical,174,-75.42,0,top
R1,1M ohms,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,172.5,-88.42,-90,top
R2,1K ohms,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,134.92,-72.5,0,top
SW1,SW_Push,SW_Tactile_Straight_KSA0Axx1LFTR,136.69,-103.96,0,top
SW2,SW_Push,SW_Tactile_Straight_KSA0Axx1LFTR,152.5,-112,0,top
SW3,SW_Push,SW_Tactile_Straight_KSA0Axx1LFTR,150.69,-95.46,0,top
SW4,SW_Push,SW_Tactile_Straight_KSA0Axx1LFTR,166,-104.42,0,top
U1,HT12E,SOP-20_7.5x12.8mm_P1.27mm,156,-84.5,-90,top
U2,LM78L05_TO92,TO-92_Inline,140.5,-86.5,90,top